FullName,Distance,Event,SwimmerAge,EventCompetitionCategoryKey,SwimTime,SwimTimeAdj,Standard,MeetName,SwimDate,ClubName,LscCode,IsForeign,Rank,PowerPoints,Sanctioned
"Palmer, Tommy",50,50 FR SCY,20,2,19.08,19.08,2024 Summer Nationals (LCM),2024 Men's PAC 12 Championships,3/7/2024,Unattached,US,False,29,986,Yes
"Miroslaw, Rafael",50,50 FR SCY,23,2,19.08,19.08,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Indiana University,IN,True,29,986,Yes
"Bell, Liam",50,50 FR SCY,23,2,19.09,19.09,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,California Aquatics,PC,False,31,985,Yes
"Fox, Jerry",50,50 FR SCY,18,2,19.09,19.09,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,NC State University,NC,False,31,985,Yes
"Whitfield, Brendan",50,50 FR SCY,19,2,19.10,19.10,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/21/2024,Unattached,US,False,33,984,Yes
"Santiago, Alex",50,50 FR SCY,21,2,19.12,19.12,2024 Summer Nationals (LCM),2024 Mid American Conference Championships,3/7/2024,Unattached,US,True,34,982,Yes
"Selin, Artem",50,50 FR SCY,21,2,19.12,19.12,2024 Summer Nationals (LCM),Texas Invitational,11/17/2023,Trojan Swim Club,CA,True,34,982,Yes
"Dusa, Matej",50,50 FR SCY,23,2,19.13,19.13,2024 Summer Nationals (LCM),2024 CSCAA National Invitational Championship,3/14/2024,Queens University,NC,True,36,981,Yes
"Baganha, Victor",50,50 FR SCY,21,2,19.14,19.14,2024 Summer Nationals (LCM),2024 Men's B1G Championships,2/29/2024,Unattached,US,True,37,980,Yes
"Minakov, Andrei",50,50 FR SCY,22,2,19.15,19.15,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Unattached,US,True,38,979,Yes
"Makinen, Kalle",50,50 FR SCY,21,2,19.16,19.16,2024 Summer Nationals (LCM),James E. Martin Invitational,3/2/2024,Auburn University,SE,True,39,978,Yes
"Curtiss, David",50,50 FR SCY,21,2,19.16,19.16,2024 Summer Nationals (LCM),2023 NC TAC Speedo Blizzard Blitz,12/9/2023,TAC Titans,NC,False,39,978,Yes
"King, Matt",50,50 FR SCY,21,2,19.16,19.16,2024 Summer Nationals (LCM),2023 NT LAC Fall Classic,11/4/2023,Texas Ford Aquatics,NT,False,39,978,Yes
"Miller, Luke",50,50 FR SCY,21,2,19.18,19.18,2024 Summer Nationals (LCM),NC State vs Georgia & Duke,11/3/2023,NC State University,NC,False,42,976,Yes
"Tan, Jonathan",50,50 FR SCY,21,2,19.20,19.20,2024 Summer Nationals (LCM),Texas Invitational,11/16/2023,Unattached,US,True,43,974,Yes
"Hayes, Aiden",50,50 FR SCY,20,2,19.20,19.20,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/21/2024,NC State University,NC,False,43,974,Yes
"Armstrong, Jack",50,50 FR SCY,22,2,19.20,19.20,2024 Summer Nationals (LCM),2024 New South Intercollegiate Swim Conference Championships,2/21/2024,Houston Bridge Bats,GU,False,43,974,Yes
"Lowe, Dalton",50,50 FR SCY,21,2,19.20,19.20,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,University of Louisville,KY,False,43,974,Yes
"Lamb, August",50,50 FR SCY,23,2,19.23,19.23,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/21/2024,University Of Virginia,VA,False,47,971,Yes
"Keblys, Jokubas",50,50 FR SCY,21,2,19.23,19.23,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/23/2024,Unattached,US,True,47,971,Yes
"Huey, Bryson",50,50 FR SCY,20,2,19.23,19.23,2024 Summer Nationals (LCM),2024 Western Athletic Conference Championships,2/29/2024,Unattached,US,False,47,971,Yes
"Heilman, Thomas",50,50 FR SCY,16,2,19.24,19.24,2024 Summer Nationals (LCM),2023 Speedo Winter Junior Championships - East,12/7/2023,Cavalier Aquatics/Piedmont Family YMCA,VA,False,50,1010,Yes
"Irwin, Elliott",50,50 FR SCY,23,2,19.25,19.25,2024 Summer Nationals (LCM),2024 Summit League Championships,2/22/2024,Unattached,US,True,51,969,Yes
"Micallef, Kyle",50,50 FR SCY,22,2,19.28,19.28,2024 Summer Nationals (LCM),2024 NCAA Division II Championships,3/13/2024,Unattached,US,True,52,966,Yes
"Molla Yanes, Mario",50,50 FR SCY,21,2,19.29,19.29,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Virginia Tech,VA,True,53,965,Yes
"Castano, Gabe",50,50 FR SCY,26,2,19.30,19.30,2024 Summer Nationals (LCM),2024 NT LAC Speedo Sectional Championship Series,3/8/2024,Texas Ford Aquatics,NT,True,54,964,Yes
"Goncharov, Steph",50,50 FR SCY,20,2,19.30,19.30,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/21/2024,University of Pittsburgh,AM,True,54,964,Yes
"Gaziev, Ruslan",50,50 FR SCY,24,2,19.30,19.30,2024 Summer Nationals (LCM),Ohio State Fall Invitational,11/16/2023,Ohio State University,OH,True,54,964,Yes
"Chambers, Micah",50,50 FR SCY,21,2,19.31,19.31,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,University Of Tennessee,SE,False,57,963,Yes
"Gu, Rafael",50,50 FR SCY,19,2,19.31,19.31,2024 Summer Nationals (LCM),CAL @ Stanford Men,2/24/2024,Unattached,US,True,57,963,Yes
"Williams, Hudson",50,50 FR SCY,18,2,19.32,19.32,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/21/2024,NC State University,NC,False,59,962,Yes
"Boyle, Connor",50,50 FR SCY,21,2,19.33,19.33,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/21/2024,Unattached,US,False,60,961,Yes
"Hoover, Sam",50,50 FR SCY,20,2,19.33,19.33,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,NC State University,NC,False,60,961,Yes
"Varjasi, Peter",50,50 FR SCY,24,2,19.34,19.34,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/21/2024,Unattached,US,True,62,960,Yes
"Buff, Scotty",50,50 FR SCY,19,2,19.35,19.35,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,University of Florida,FL,False,63,959,Yes
"Scholl, Ben",50,50 FR SCY,19,2,19.36,19.36,2024 Summer Nationals (LCM),Lonestar Last Chance,3/7/2024,Unattached,US,False,64,958,Yes
"Sammon, Patrick",50,50 FR SCY,20,2,19.36,19.36,2024 Summer Nationals (LCM),2024 Men's PAC 12 Championships,3/7/2024,Sun Devil Swimming,AZ,False,64,958,Yes
"Crane, Sterling",50,50 FR SCY,23,2,19.36,19.36,2024 Summer Nationals (LCM),2024 Big 12 Conference Championships,2/28/2024,University of Texas,ST,False,64,958,Yes
"Brooks, Finn",50,50 FR SCY,20,2,19.37,19.37,2024 Summer Nationals (LCM),2024 Men's B1G Championships,2/29/2024,Indiana University,IN,False,67,957,Yes
"Benson, Andrew",50,50 FR SCY,21,2,19.37,19.37,2024 Summer Nationals (LCM),2024 Men's B1G Championships,2/29/2024,Unattached,US,False,67,957,Yes
"Branzell, Reese",50,50 FR SCY,20,2,19.38,19.38,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,Athens Bulldog Swim Club,GA,False,69,956,Yes
"Matic, Djurdje",50,50 FR SCY,23,2,19.42,19.42,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,George Washington Aquatics,PV,True,70,951,Yes
"Harabagiu, Davide",50,50 FR SCY,19,2,19.43,19.43,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Unattached,US,True,71,950,Yes
"Cooper, Ian",50,50 FR SCY,23,2,19.43,19.43,2024 Summer Nationals (LCM),2024 NCAA Division II Championships,3/13/2024,Unattached,US,False,71,950,Yes
"Otten, Ethan",50,50 FR SCY,20,2,19.43,19.43,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,Unattached,US,False,71,950,Yes
"Lee, Mikkel",50,50 FR SCY,20,2,19.43,19.43,2024 Summer Nationals (LCM),Ohio State Fall Invitational,11/16/2023,Unattached,US,True,71,950,Yes
"Ratiu, George",50,50 FR SCY,23,2,19.44,19.44,2024 Summer Nationals (LCM),2024 Western Athletic Conference Championships,2/29/2024,Unattached,US,True,75,949,Yes
"Miller, Seth",50,50 FR SCY,21,2,19.44,19.44,2024 Summer Nationals (LCM),2024 Men's PAC 12 Championships,3/7/2024,Unattached,US,False,75,949,Yes
"Baltes, Daniel",50,50 FR SCY,21,2,19.45,19.45,2024 Summer Nationals (LCM),2024 Men's B1G Championships,2/29/2024,Ohio State University,OH,False,77,948,Yes
"Shperkin, Mark",50,50 FR SCY,25,2,19.45,19.45,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,Gamecock Aquatics,SC,True,77,948,Yes
"Klinge, Matthew",50,50 FR SCY,18,2,19.45,19.45,2024 Summer Nationals (LCM),2024 IN OBS IN Boys HS State Finals,2/23/2024,Unattached,IN,False,77,948,Yes
"Williamson, Maximus",50,50 FR SCY,17,2,19.45,19.45,2024 Summer Nationals (LCM),2024 ST OB UIL 6A State Swimming & Diving Championships,2/23/2024,Unattached,NT,False,77,964,Yes
"Bochenski, Grant",50,50 FR SCY,20,2,19.46,19.46,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,U. of Missouri,MV,False,81,947,Yes
"Samuels, Brady",50,50 FR SCY,20,2,19.46,19.46,2024 Summer Nationals (LCM),Purdue Invitational,11/16/2023,Boilermaker Aquatics,IN,False,81,947,Yes
"Butler, Lance",50,50 FR SCY,21,2,19.47,19.47,2024 Summer Nationals (LCM),2024 ASUN Championships,2/21/2024,Unattached,US,False,83,946,Yes
"Ray, Tyler",50,50 FR SCY,19,2,19.47,19.47,2024 Summer Nationals (LCM),2024 Men's B1G Championships,2/29/2024,Univ. Of Michigan Swim Team,MI,False,83,946,Yes
"Simon, Miles",50,50 FR SCY,22,2,19.47,19.47,2024 Summer Nationals (LCM),Georgia Last Chance Invite,3/3/2024,Unattached,US,False,83,946,Yes
"Khaled, Sohib",50,50 FR SCY,20,2,19.49,19.49,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,Unattached,US,True,86,944,Yes
"Harm, Jonah",50,50 FR SCY,23,2,19.49,19.49,2024 Summer Nationals (LCM),2024 Patriot League Championships,2/22/2024,Unattached,US,False,86,944,Yes
"Odorici, Leandro",50,50 FR SCY,21,2,19.49,19.49,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Unattached,US,True,86,944,Yes
"Hanson, Robin",50,50 FR SCY,22,2,19.49,19.49,2024 Summer Nationals (LCM),2024 Men's PAC 12 Championships,3/7/2024,California Aquatics,PC,True,86,944,Yes
"Jones, Roman",50,50 FR SCY,18,2,19.50,19.50,2024 Summer Nationals (LCM),2024 Men's PAC 12 Championships,3/7/2024,California Aquatics,PC,False,90,943,Yes
"Barr, Luke",50,50 FR SCY,20,2,19.50,19.50,2024 Summer Nationals (LCM),Last Chance Invite,3/8/2024,Indiana University,IN,False,90,943,Yes
"Ksiazek, Kuba",50,50 FR SCY,25,2,19.50,19.50,2024 Summer Nationals (LCM),2024 Mountain Pacific Sports Federation Championships,2/22/2024,Unattached,US,True,90,943,Yes
"Schulrath, Tobias",50,50 FR SCY,20,2,19.51,19.51,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/21/2024,Unattached,US,True,93,942,Yes
"Daleiden Ciuferri, Ralph",50,50 FR SCY,21,2,19.51,19.51,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Unattached,US,True,93,942,Yes
"Van Renen, Ruard",50,50 FR SCY,20,2,19.51,19.51,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Unattached,US,True,93,942,Yes
"Smith, Julian",50,50 FR SCY,21,2,19.51,19.51,2024 Summer Nationals (LCM),Georgia Invite,11/16/2023,University of Florida,FL,False,93,942,Yes
"Berg, Max",50,50 FR SCY,21,2,19.52,19.52,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,Unattached,KY,True,97,941,Yes
"Paulus, Peter",50,50 FR SCY,23,2,19.52,19.52,2024 Summer Nationals (LCM),2024 Big 12 Conference Championships,2/28/2024,University of Texas,ST,False,97,941,Yes
"Dubinin, Vlad",50,50 FR SCY,24,2,19.53,19.53,2024 Summer Nationals (LCM),Notre Dame Last Chance,3/2/2024,Unattached,US,False,99,940,Yes
"Cvetko, Luka",50,50 FR SCY,23,2,19.53,19.53,2024 Summer Nationals (LCM),Notre Dame Last Chance,3/2/2024,Unattached,US,True,99,940,Yes
"Cabral, Yuri",50,50 FR SCY,20,2,19.53,19.53,2024 Summer Nationals (LCM),SMU Invite,11/16/2023,Unattached,US,True,99,940,Yes
"Gattnar, Marre",50,50 FR SCY,17,2,19.53,19.53,2024 Summer Nationals (LCM),2023 Speedo Winter Junior Championships - West,12/7/2023,North Bay Aquatics,PC,False,99,955,Yes
"Riva, Luigi",50,50 FR SCY,21,2,19.53,19.53,2024 Summer Nationals (LCM),BYU v Utah,2/9/2024,Unattached,US,True,99,940,Yes
"Liendo, Josh",100,100 FR SCY,21,2,40.20,40.20,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,University of Florida,FL,True,1,1107,Yes
"Marchand, Leon",100,100 FR SCY,21,2,40.28,40.28,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,Unattached,US,True,2,1103,Yes
"Crooks, Jordan",100,100 FR SCY,21,2,40.39,40.39,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,University Of Tennessee,SE,True,3,1096,Yes
"Caribe, Gui",100,100 FR SCY,21,2,40.55,40.55,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,University Of Tennessee,SE,True,4,1087,Yes
"Alexy, Jack",100,100 FR SCY,21,2,40.59,40.59,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,California Aquatics,PC,False,5,1084,Yes
"Guiliano, Chris",100,100 FR SCY,20,2,40.62,40.62,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/24/2024,University Of Notre Dame,IN,False,6,1083,Yes
"Ramadan, Youssef",100,100 FR SCY,21,2,41.16,41.16,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,Virginia Tech,VA,True,7,1051,Yes
"Brownstead, Matt",100,100 FR SCY,21,2,41.26,41.26,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,Unattached,US,False,8,1045,Yes
"Miller, Luke",100,100 FR SCY,21,2,41.27,41.27,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,NC State University,NC,False,9,1045,Yes
"Seeliger, Bjorn",100,100 FR SCY,24,2,41.27,41.27,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,California Aquatics,PC,True,9,1045,Yes
"Dolan, Jack",100,100 FR SCY,23,2,41.29,41.29,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,Sun Devil Swimming,AZ,False,11,1044,Yes
"McDuff, Macguire",100,100 FR SCY,20,2,41.30,41.30,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/24/2024,University of Florida,FL,False,12,1043,Yes
"Hobson, Luke",100,100 FR SCY,20,2,41.35,41.35,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,University of Texas,ST,False,13,1040,Yes
"Kulow, Jonny",100,100 FR SCY,19,2,41.40,41.40,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,Sun Devil Swimming,AZ,False,14,1037,Yes
"Branzell, Reese",100,100 FR SCY,20,2,41.44,41.44,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/24/2024,Athens Bulldog Swim Club,GA,False,15,1035,Yes
"Foote, Connor",100,100 FR SCY,20,2,41.49,41.49,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,Texas A & M University,GU,False,16,1032,Yes
"Jensen, Matthew",100,100 FR SCY,22,2,41.57,41.57,2024 Summer Nationals (LCM),2024 Men's PAC 12 Championships,3/9/2024,California Aquatics,PC,False,17,1028,Yes
"Whitfield, Brendan",100,100 FR SCY,19,2,41.61,41.61,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/24/2024,Unattached,US,False,18,1025,Yes
"Miroslaw, Rafael",100,100 FR SCY,23,2,41.66,41.66,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,Indiana University,IN,True,19,1022,Yes
"King, Matt",100,100 FR SCY,21,2,41.71,41.71,2024 Summer Nationals (LCM),2023 NT LAC Fall Classic,11/5/2023,Texas Ford Aquatics,NT,False,20,1020,Yes
"Hribar, Jere",100,100 FR SCY,20,2,41.76,41.76,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/24/2024,Unattached,US,True,21,1017,Yes
"Sammon, Patrick",100,100 FR SCY,20,2,41.77,41.77,2024 Summer Nationals (LCM),2024 Men's PAC 12 Championships,3/9/2024,Sun Devil Swimming,AZ,False,22,1016,Yes
"Molacek, Jacob",100,100 FR SCY,28,2,41.80,41.80,2024 Summer Nationals (LCM),2023 NT KMSC Pro Am,12/17/2023,Texas Ford Aquatics,NT,False,23,1014,Yes
"Fox, Jerry",100,100 FR SCY,18,2,41.81,41.81,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,NC State University,NC,False,24,1014,Yes
"Frankel, Tomer",100,100 FR SCY,23,2,41.81,41.81,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,Unattached,US,True,24,1014,Yes
"Williamson, Maximus",100,100 FR SCY,17,2,41.84,41.84,2024 Summer Nationals (LCM),2024 ST OB UIL 6A State Swimming & Diving Championships,2/23/2024,Unattached,NT,False,26,1034,Yes
"Varjasi, Peter",100,100 FR SCY,24,2,41.86,41.86,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,Unattached,US,True,27,1011,Yes
"McCarty, Quintin",100,100 FR SCY,20,2,41.87,41.87,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,NC State University,NC,False,28,1010,Yes
"Chaney, Adam",100,100 FR SCY,22,2,41.89,41.89,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,University of Florida,FL,False,29,1009,Yes
"Torepe-Ormsby, Taiko",100,100 FR SCY,20,2,41.96,41.96,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,Unattached,US,True,30,1005,Yes
"Dupont Cabrera, Andres",100,100 FR SCY,20,2,41.97,41.97,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,Unattached,US,True,31,1005,Yes
"Bell, Liam",100,100 FR SCY,23,2,41.98,41.98,2024 Summer Nationals (LCM),2024 Men's PAC 12 Championships,3/9/2024,California Aquatics,PC,False,32,1004,Yes
"Pinfold, Brett",100,100 FR SCY,28,2,41.98,41.98,2024 Summer Nationals (LCM),2023 NT KMSC Pro Am,12/17/2023,Swim Houston Aquatics Center,GU,False,32,1004,Yes
"Hoover, Sam",100,100 FR SCY,20,2,41.98,41.98,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,NC State University,NC,False,32,1004,Yes
"Daleiden Ciuferri, Ralph",100,100 FR SCY,20,2,42.00,42.00,2024 Summer Nationals (LCM),Minnesota Invitational,11/30/2023,Unattached,US,True,35,1003,Yes
"Heilman, Thomas",100,100 FR SCY,16,2,42.00,42.00,2024 Summer Nationals (LCM),2023 Speedo Winter Junior Championships - East,12/9/2023,Cavalier Aquatics/Piedmont Family YMCA,VA,False,35,1055,Yes
"Williams, Hudson",100,100 FR SCY,18,2,42.01,42.01,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/24/2024,NC State University,NC,False,37,1002,Yes
"Gaziev, Ruslan",100,100 FR SCY,24,2,42.04,42.04,2024 Summer Nationals (LCM),Tim Welsh Classic,1/27/2024,Ohio State University,OH,True,38,1001,Yes
"McFadden, Henry",100,100 FR SCY,18,2,42.06,42.06,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,Jersey Wahoos,MA,False,39,1000,Yes
"Smith, Julian",100,100 FR SCY,21,2,42.07,42.07,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/24/2024,University of Florida,FL,False,40,999,Yes
"Szabados, Bence",100,100 FR SCY,22,2,42.09,42.09,2024 Summer Nationals (LCM),2024 Men's B1G Championships,3/2/2024,Univ. Of Michigan Swim Team,MI,True,41,998,Yes
"Minakov, Andrei",100,100 FR SCY,22,2,42.09,42.09,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,Unattached,US,True,41,998,Yes
"Tirheimer, Logan",100,100 FR SCY,22,2,42.10,42.10,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/24/2024,Auburn University,SE,False,43,997,Yes
"Winkler, Kaii",100,100 FR SCY,17,2,42.14,42.14,2024 Summer Nationals (LCM),2023 FL FHSAA Class 1A Championships,11/4/2023,Unattached,FG,False,44,1016,Yes
"Downing, Dillon",100,100 FR SCY,23,2,42.16,42.16,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/24/2024,Unattached,US,False,45,994,Yes
"Alves, Kaique",100,100 FR SCY,23,2,42.17,42.17,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,Unattached,US,False,46,993,Yes
"Navikonis, Tomas",100,100 FR SCY,20,2,42.17,42.17,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,Ohio State University,OH,True,46,993,Yes
"Fullum-Huot, Ed",100,100 FR SCY,21,2,42.18,42.18,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/30/2024,Unattached,US,True,48,993,Yes
